Size of Dataset, 8000
Epsilon, 0.5
MinPoints, 10
InfoGain, 0.9989278602105082
Number of Clusters, 100
Distance Metric, Manhattan
Precision, 0.0
Recall, 0.0
Accuracy, 0.797
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0010721397894918236
Elapsed Time, 25
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
0, 0.060830626354146024, 0.001182113475177305, 141, 1.0, 140.0
1, 0.0, 0.00430170967741935, 93, 0.0, 93.0
2, 0.0, 7.407407407407406E-8, 54, 0.0, 54.0
3, 0.0, 4.545454545454545E-8, 176, 0.0, 176.0
4, 0.0, 2.571428571428571E-6, 21, 0.0, 21.0
5, 0.0, 0.0024224806201550387, 516, 0.0, 516.0
6, 0.0, 0.013075117647058819, 17, 0.0, 17.0
7, 0.0, 5.000000000000001E-7, 30, 0.0, 30.0
8, 0.0, 0.0011111511111111102, 225, 0.0, 225.0
9, 0.0, 0.0, 552, 0.0, 552.0
10, 0.0, 0.005241088050314465, 159, 0.0, 159.0
11, 0.0, 0.005134766666666671, 30, 0.0, 30.0
12, 0.0, 7.017543859649122E-8, 57, 0.0, 57.0
13, 0.0, 0.008928571428571428, 56, 0.0, 56.0
14, 0.0, 8.45070422535211E-8, 71, 0.0, 71.0
15, 0.0, 3.3913043478260873E-6, 23, 0.0, 23.0
16, 0.0, 5.733333333333332E-7, 75, 0.0, 75.0
17, 0.0, 2.0181818181818176E-5, 11, 0.0, 11.0
18, 0.0, 2.9729729729729727E-7, 37, 0.0, 37.0
19, 0.0, 0.008550833333333344, 18, 0.0, 18.0
20, 0.0, 0.047621833333333315, 6, 0.0, 6.0
21, 0.0, 0.0043141379310344865, 29, 0.0, 29.0
22, 0.0, 2.368421052631579E-7, 38, 0.0, 38.0
23, 0.0, 7.636363636363635E-6, 11, 0.0, 11.0
24, 0.0, 3.6129032258064515E-6, 31, 0.0, 31.0
25, 0.0, 7.77777777777778E-7, 27, 0.0, 27.0
26, 0.0, 1.4000000000000001E-6, 15, 0.0, 15.0
27, 0.0, 0.00520895833333333, 48, 0.0, 48.0
28, 0.0, 0.009593272727272728, 11, 0.0, 11.0
29, 0.0, 2.118181818181818E-5, 11, 0.0, 11.0
30, 0.0, 1.4999999999999998E-6, 6, 0.0, 6.0
31, 0.0, 0.0, 21, 0.0, 21.0
32, 0.0, 2.9473684210526317E-6, 19, 0.0, 19.0
33, 0.0, 4.916666666666667E-6, 12, 0.0, 12.0
34, 0.0, 1.5384615384615385E-7, 13, 0.0, 13.0
35, 0.0, 3.999999999999999E-6, 1, 0.0, 1.0
36, 0.0, 7.0E-7, 10, 0.0, 10.0
37, 0.0, 2.9999999999999997E-6, 12, 0.0, 12.0
38, 0.0, 4.285714285714285E-7, 7, 0.0, 7.0
39, 0.0, 9.066666666666664E-6, 15, 0.0, 15.0
40, 0.0, 8.666666666666666E-7, 15, 0.0, 15.0
41, 0.0, 0.02083533333333333, 12, 0.0, 12.0
42, 0.0, 6.5999999999999995E-6, 5, 0.0, 5.0
43, 0.0, 6.666666666666667E-7, 21, 0.0, 21.0
44, 0.0, 2.1599999999999996E-5, 10, 0.0, 10.0
45, 0.0, 0.0, 5, 0.0, 5.0
46, 0.0, 5.2631578947368416E-8, 19, 0.0, 19.0
47, 0.0, 1.0181818181818182E-5, 11, 0.0, 11.0
48, 0.0, 1.7142857142857143E-6, 7, 0.0, 7.0
49, 0.0, 0.00910936363636365, 11, 0.0, 11.0
50, 0.0, 1.7500000000000002E-6, 4, 0.0, 4.0
51, 0.0, 1.8142857142857146E-5, 14, 0.0, 14.0
52, 0.0, 1.7666666666666668E-5, 3, 0.0, 3.0
53, 0.0, 0.02287519999999999, 15, 0.0, 15.0
54, 0.0, 0.33246981818181814, 11, 0.0, 11.0
55, 0.0, 2.6400000000000006E-6, 25, 0.0, 25.0
56, 0.0, 0.03571528571428573, 14, 0.0, 14.0
57, 0.0, 9.999999999999999E-6, 4, 0.0, 4.0
58, 0.0, 6.666666666666668E-7, 6, 0.0, 6.0
59, 0.0, 2.4166666666666663E-6, 24, 0.0, 24.0
60, 0.0, 6.0E-6, 2, 0.0, 2.0
61, 0.0, 2.7500000000000004E-6, 4, 0.0, 4.0
62, 0.0, 7.6E-6, 5, 0.0, 5.0
63, 0.0, 1.3333333333333332E-6, 9, 0.0, 9.0
64, 0.0, 5.0E-7, 8, 0.0, 8.0
65, 0.0, 4.42857142857143E-6, 14, 0.0, 14.0
66, 0.0, 1.1999999999999997E-6, 5, 0.0, 5.0
67, 0.0, 0.5, 1, 0.0, 1.0
68, 0.0, 0.022225444444444468, 9, 0.0, 9.0
69, 0.0, 0.005868909090909074, 11, 0.0, 11.0
70, 0.0, 8.16666666666667E-6, 6, 0.0, 6.0
71, 0.0, 1.95E-5, 2, 0.0, 2.0
72, 0.0, 0.3809553333333333, 3, 0.0, 3.0
73, 0.0, 2.1E-5, 2, 0.0, 2.0
74, 0.0, 5.0E-6, 2, 0.0, 2.0
75, 0.0, 1.0000000000000006E-6, 2, 0.0, 2.0
76, 0.0, 0.0, 3, 0.0, 3.0
77, 0.0, 1.8000000000000001E-6, 10, 0.0, 10.0
78, 0.0, 6.6666666666666675E-6, 3, 0.0, 3.0
79, 0.0, 1.1E-5, 7, 0.0, 7.0
80, 0.0, 2.0000000000000003E-6, 2, 0.0, 2.0
81, 0.0, 1.4000000000000001E-5, 3, 0.0, 3.0
82, 0.0, 2.0000000000000003E-6, 1, 0.0, 1.0
83, 0.0, 6.000000000000001E-6, 1, 0.0, 1.0
84, 0.0, 3.0000000000000005E-6, 2, 0.0, 2.0
85, 0.0, 0.12500199999999997, 2, 0.0, 2.0
86, 0.0, 2.0E-6, 1, 0.0, 1.0
87, 0.0, 5.500000000000001E-6, 4, 0.0, 4.0
88, 0.0, 1.9E-5, 2, 0.0, 2.0
89, 0.0, 2.0000000000000003E-6, 1, 0.0, 1.0
90, 0.0, 1.6666666666666664E-5, 3, 0.0, 3.0
91, 0.0, 4.000000000000001E-6, 1, 0.0, 1.0
92, 0.0, 0.3809520000000002, 1, 0.0, 1.0
93, 0.0, 0.0, 1, 0.0, 1.0
94, 0.0, 1.35E-5, 2, 0.0, 2.0
95, 0.0, 1.9499999999999996E-5, 2, 0.0, 2.0
96, 0.0, 1.0E-6, 1, 0.0, 1.0
97, 0.0, 1.9999999999999995E-6, 1, 0.0, 1.0
98, 0.0, 9.999999999999997E-7, 1, 0.0, 1.0
99, 0.0, 1.1E-5, 2, 0.0, 2.0
